"","Sex"
"c2.loc1",8.49260527402885
"2_727595",8.83591529723564
"2_684451",10.6248063972737
"c2.loc2",10.684792445096
"c2.loc3",11.0382752629138
"c2.loc4",11.3666324397961
"c2.loc5",11.6574030202347
"c2.loc6",11.896586595212
"c2.loc7",12.0698229664299
"c2.loc8",12.1642861654893
"c2.loc9",12.1709339984102
"c2.loc10",12.086340642828
"c2.loc11",11.9133230556523
"c2.loc12",11.6601267793969
"c2.loc13",11.3386472858478
"2_3454540",11.0763721412361
"c2.loc14",5.55185053180961
"c2.loc15",24.6298595132383
"2_3508231",24.7371064203399
"c2.loc16",25.5805798983504
"c2.loc17",25.8262760182356
"2_3835280",25.7978327237907
"c2.loc18",26.7327127086852
"2_4115561",27.1460605905716
"c2.loc19",26.1409238340128
"c2.loc20",21.9716890140397
"2_4272908",21.7239287185748
"2_4350083",26.419288887508
"2_4272907",26.7252723029137
"c2.loc21",23.2003689517478
"c2.loc22",16.9624479981242
"2_4599939",15.5390209554789
"2_4650244",19.8749783439673
"c2.loc23",20.7487617825132
"2_4650229",21.4859096074586
"c2.loc24",21.5179680619963
"2_4650247",20.6279978724377
"c2.loc25",20.4233664402788
"c2.loc26",19.6930802358672
"c2.loc27",18.8095474681203
"c2.loc28",17.7335151832868
"c2.loc29",16.4150046783632
"c2.loc30",14.7928693426982
"c2.loc31",12.8010352958502
"c2.loc32",10.3963393890628
"c2.loc33",7.6374646100441
"c2.loc34",4.8053481130084
"c2.loc35",2.37276765923865
"c2.loc36",0.73064768030622
"c2.loc37",0.0302046438295775
"c2.loc38",0.224307098719045
"c2.loc39",1.13185298733134
"c2.loc40",2.49707122308715
"c2.loc41",4.06669084412051
"c2.loc42",5.65416150532342
"c2.loc43",7.15408047424781
"2_6636380",7.43742504758767
"c2.loc44",4.35151003146598
"2_6967072",3.47490439011627
"c2.loc45",5.16734745986967
"c2.loc46",6.66049335470154
"c2.loc47",7.7101467958959
"c2.loc48",8.4502693226301
"2_7451312",8.80532772786324
"c2.loc49",8.73730739298892
"c2.loc50",8.43845414340229
"c2.loc51",7.97977453980393
"12_1266122",7.54761207774102
"c2.loc52",4.05996104847592
"2_8805548",6.21440505829467
"2_8581778",6.26362189317494
"c2.loc53",1.73598365369817
"2_8713638",7.99684853507834
"c2.loc54",7.99370261915055
"2_9166022",7.99238838161902
"c2.loc55",3.79207727430677
"7_3473511",0.818101923241571
"c2.loc56",1.08394414936868
"c2.loc57",1.44811510796172
"c2.loc58",1.78275231657015
"c2.loc59",2.08111402594452
"c2.loc60",2.34296502007715
"2_15380371",2.36723731725709
"2_14300760",1.81135026812827
"c2.loc61",2.89859618880738
"2_15380310",3.83949956880632
"c2.loc62",3.84293158755134
"2_15052983",3.84451264328328
"2_15380290",5.43113686170008
"2_15052944",5.59481125706065
"2_15428662",5.5918049178767
"2_15428758",5.243294978228
"2_15380325",5.23815242492055
"2_15428718",5.25598379420199
"c2.loc64",4.87582575486059
"16_17497990",4.54691186322871
"c2.loc65",4.33305417011248
"c2.loc66",0.116021528696244
"c2.loc67",3.13297874073741
"2_17017117",3.47134905377683
"2_17019683",3.44507647193592
"c2.loc68",3.33364746049614
"c2.loc69",2.95819474846802
"2_17632093",2.81904574538292
"2_17632126",2.97479577314373
"2_17714063",2.75310341786383
"c2.loc70",2.69504469568805
"2_17631523",1.94989907129115
"c2.loc71",2.06250860009677
"2_17632108",2.25069867634875
"c2.loc72",2.2146320195093
"c2.loc73",2.00841874517418
"c2.loc74",1.74771051151554
"2_17884919",1.69439559380891
"c2.loc75",1.68288553897342
"c2.loc76",1.59522560745489
"2_18456340",1.48633541189178
"3_41385",0.0746772762368408
"3_534317",0.104553636152175
"c3.loc1",0.0830163274510483
"3_532958",0.069614322177344
"c3.loc2",0.0542920237785935
"c3.loc3",0.0332147679321082
"3_947527",0.0219340006744062
"c3.loc4",0.00771127025998908
"3_1171786",0.000172379101499587
"3_1001006",0.00103041498254441
"3_969615",0.00255644514967912
"c3.loc5",0.00490049584550434
"3_1407230",0.00773378785997636
"3_1384415",0.0052165500713528
"3_1484998",0.0322963994816519
"c3.loc6",0.02702810744114
"3_1675026",0.00661730728909049
"c3.loc7",0.0105115730342717
"c3.loc8",0.0170392748102941
"3_1992053",0.0200032787722506
"3_1896075",0.0479269706959542
"3_2224905",0.0472557061761805
"3_2224904",0.000748741024295896
"3_1992077",0.000889368083704767
"3_1937647",0.00315730232584599
"c3.loc9",0.0030899523932959
"c3.loc10",0.00236072204261717
"c3.loc11",0.00172625200158194
"c3.loc12",0.00119720383791844
"3_2458023",0.0011171167996622
"3_2454850",0.000997801698630951
"3_2439035",0.00075636123345646
"c3.loc13",0.0145462017288267
"c3.loc14",0.0436148794190032
"3_2879059",0.0321740971393041
"3_2876578",0.0335432765402075
"3_2878868",0.0335434401826262
"c3.loc15",0.0298851147249692
"c3.loc16",0.0231667958976445
"3_3151574",0.0179480618893493
"c3.loc17",0.0370791925863188
"3_3341202",0.0458357819371287
"c3.loc18",5.30604795301315e-06
"3_3396381",0.00605855358747931
"c3.loc19",0.000368970654641032
"c3.loc20",0.00199338817086669
"c3.loc21",0.00998079537988161
"3_3675428",0.0180713766282778
"3_3675429",0.0180713764444391
"c3.loc22",0.0215316164562722
"3_3553205",0.0294735978171019
"c3.loc23",0.0197238762987766
"c3.loc24",0.000545094653041645
"c3.loc25",0.0379590111301127
"c3.loc26",0.0612750140951022
"3_4196171",0.0662263036354176
"3_4228302",0.0686285587398459
"c3.loc27",0.0664589303340435
"3_4222506",0.0655231398202289
"3_4520643",0.106906671344859
"3_4574460",0.10385877943137
"c3.loc28",0.105125064979632
"c3.loc29",0.14283696652609
"c3.loc30",0.18455838721146
"3_5278757",0.22003294090851
"c3.loc31",0.211425125971651
"c3.loc32",0.164066697716436
"c3.loc33",0.116142439747932
"3_5885144",0.104412906035542
"3_5884897",0.063705879295334
"3_6056253",0.0305675451552148
"c3.loc34",0.0304441244527069
"c3.loc35",0.0218055032894569
"c3.loc36",0.0148265133503855
"3_6843554",0.0108281887905761
"3_6843505",0.0106350675805587
"3_6843565",0.00282657846027234
"3_6406897",0.000431132953082169
"c3.loc37",0.000394720697592277
"c3.loc38",0.00291505121555247
"3_7104025",0.0106194890028846
"c3.loc39",0.0108387970228705
"c3.loc40",0.0112921558365784
"3_7443735",0.0113528050325442
"c3.loc41",0.00860320802060954
"c3.loc42",5.95297952017404e-05
"c3.loc43",0.00619054509983386
"c3.loc44",0.027168332576835
"c3.loc45",0.0620635207052729
"3_8793598",0.0788320391055777
"3_8895653",0.077141704312325
"c3.loc46",0.076989782975339
"c3.loc47",0.0752585387593641
"c3.loc48",0.0665735561857517
"c3.loc49",0.0243445902539534
"c3.loc50",0.0110669767616898
"c3.loc51",0.0433733961789784
"c3.loc52",0.0564272813898086
"c3.loc53",0.0621794974611092
"3_11937281",0.0623812760752642
"3_11806166",0.0623860104292291
"3_11746115",0.0637962834345558
"c3.loc54",0.0430541427785229
"3_9959283",0.104579862802368
"c3.loc55",0.103988225642354
"c3.loc56",0.101369290261005
"c3.loc57",0.0972791317813915
"c3.loc58",0.0919399713672817
"c3.loc59",0.085670991629847
"5_4739215",0.0821906990861976
"c3.loc60",0.0927318338075622
"c3.loc61",0.113447714983877
"12_13636817",0.12227301913444
"c3.loc62",0.147901234303085
"c3.loc63",0.226092867881142
"c3.loc64",0.352712153689623
"c3.loc65",0.447229235760595
"3_19326615",0.388090111546951
"c3.loc66",0.468569929740944
"c3.loc67",0.572924929243584
"c3.loc68",0.454324799015701
"c3.loc69",0.338074015633033
"16_9895499",0.272511818012745
"c3.loc70",0.28633744161813
"16_9895496",0.346626824053871
"c3.loc71",0.344216230055082
"c3.loc72",0.332168073301474
"c3.loc73",0.314000405427798
"c3.loc74",0.290543208293961
"c3.loc75",0.263249619304851
"16_9895528",0.255538338101069
"4_453789",0.0265395657460772
"4_701098",0.0260317427327692
"c4.loc1",0.0149115639859261
"4_700438",0.012291529373158
"4_601440",0.0195195724524382
"c4.loc2",0.0238971982627092
"4_977727",0.0361706084070974
"c4.loc3",0.0207843899168054
"4_1283295",0.0130763680906014
"4_1274066",0.0117107985505669
"c4.loc4",0.0281297822481008
"c4.loc5",0.0684322130278403
"c4.loc6",0.142173491604474
"3_5683230",0.210812007139147
"c4.loc7",0.179888756558476
"4_2007592",0.104585376559029
"c4.loc8",0.10645389726978
"c4.loc9",0.118748234496593
"c4.loc10",0.129937203909556
"4_2501631",0.13853326837728
"c4.loc11",0.124580740988755
"c4.loc12",0.213501402960148
"4_2749888",0.214683340434682
"c4.loc13",0.213871940115574
"4_3479785",0.213372708775971
"4_3228910",0.21914021889382
"4_3207911",0.219243884561244
"4_3228959",0.282765244796195
"c4.loc14",0.283263868771485
"c4.loc15",0.0107160026490405
"4_3902010",0.000470769700278595
"4_3632159",0.000620381370445955
"4_3632229",0.0384506540882157
"c4.loc16",0.0151042272045601
"c4.loc17",7.78478828067364e-07
"c4.loc18",0.0153744444030224
"c4.loc19",0.0566392076630891
"c4.loc20",0.11039576214138
"c4.loc21",0.164047992152582
"c4.loc22",0.210794865778169
"c4.loc23",0.248785388185055
"4_6046549",0.262612019972444
"c4.loc24",0.282473989081261
"c4.loc25",0.0019844840698795
"c4.loc26",0.0582453687665776
"4_6381659",0.0824737893335836
"c4.loc27",0.080340549080482
"c4.loc28",0.0754587031132274
"c4.loc29",0.0704685350480432
"4_6702831",0.068397668617699
"c4.loc30",0.0692385455751037
"c4.loc31",0.0702529300764496
"c4.loc32",0.0705145685073276
"c4.loc33",0.0697248263575148
"c4.loc34",0.0675930274875398
"4_7806435",0.0639020182156926
"4_7599186",0.0394134122228635
"4_7599187",0.0471978477777881
"c4.loc36",0.00750410674707069
"4_7664157",0.004735575726599
"9_22356376",0.033787067894302
"c4.loc37",0.0575433864095345
"c4.loc38",0.101410721807852
"4_8931079",0.102633505776907
"c4.loc39",0.0551439226376402
"4_10577371",0.0294128699109635
"c4.loc40",0.0291893015700353
"4_9494990",0.0235925800942454
"c4.loc41",0.029511168168149
"4_11890294",0.0381224412473316
"c4.loc42",0.0405469486026675
"c4.loc43",0.00333753301411122
"4_12987946",0.000328218673139702
"c4.loc44",0.000643479975082073
"12_9215138",0.000981604801516767
"c4.loc45",0.0570274175018
"18_29612869",0.0827745962227553
"4_14520796",0.0910097505793033
"c4.loc46",0.0180007564012499
"17_16544364",0.326991201414728
"c4.loc47",0.316718117216951
"4_14829003",0.134967857830063
"4_15156973",0.121462152439491
"c4.loc48",0.134339706408007
"4_16242444",0.140080149614853
"4_16145098",0.141602051399424
"4_16592665",0.00714284104803653
"c4.loc49",0.00437039837802899
"4_16771616",1.56723302779938e-05
"c4.loc50",0.000128569574620485
"c4.loc51",0.0189249765905686
"c4.loc52",0.0910126081356282
"c4.loc53",0.214922963356983
"4_17736774",0.293415124147039
"4_17801559",0.256184917105394
"c4.loc54",0.261954550981677
"c4.loc55",0.312135168057445
"4_18149111",0.326773781233996
"4_17941745",0.326773783420023
"c4.loc56",0.340775008435081
"c4.loc57",0.338213495976227
"c4.loc58",0.310231728417399
"c4.loc59",0.270729414382934
"c4.loc60",0.230771177426909
"c4.loc61",0.195575719111552
"c4.loc62",0.166433897708949
"4_19442593",0.15755634313377
"c4.loc63",0.172689058178349
"c4.loc64",0.195909566467563
"c4.loc65",0.218375163129423
"4_20127607",0.239403301205542
"c4.loc67",0.264531495560981
"4_20376448",0.287502196748015
"c4.loc68",0.453654371296047
"4_20476402",0.692236178210656
"4_20485683",0.693539004672083
"c4.loc69",0.701049433659904
"7_19909386",0.677544072766679
"c4.loc70",1.06455818062307
"4_20708423",1.06860676012936
"c4.loc71",0.910463016217726
"7_19909323",0.898507394767748
"c4.loc72",0.90694435073582
"c4.loc73",0.914761254570955
"c4.loc74",0.921267881126333
"4_21353666",0.922849125488483
"c4.loc75",0.78885838396814
"4_21609026",0.939546618134365
"c4.loc76",1.03602654109957
"4_21840191",1.08105136161669
"c4.loc77",1.02239964857445
"c4.loc78",0.90792506130196
"c4.loc79",0.784404818247431
"c4.loc80",0.657907872277384
"c4.loc81",0.534850000147301
"4_22856230",0.47516509919366
"c4.loc82",0.39636114650876
"c4.loc83",0.248589153694958
"c4.loc84",0.129156737525307
"4_23747765",0.0783599421233774
"4_23684552",0.0712713459413195
"c4.loc85",0.0416874198177268
"4_23820188",0.0267927476416077
"c4.loc86",0.01902799577433
"4_23839694",0.0118248246034156
"c4.loc87",0.0118135885337054
"4_24028683",0.0117692106410701
"c4.loc88",0.00785955890074774
"4_24561501",0.0430203367324111
"5_262303",0.0615963068688501
"c5.loc1",0.0542399041015571
"c5.loc2",0.0470917959750068
"c5.loc3",0.0402282811688437
"c5.loc4",0.0337249969732341
"5_1158453",0.0312164567175088
"c5.loc5",0.311138464712016
"5_1158434",0.285906401064416
"c5.loc6",0.291385317067011
"5_1543083",0.292523029906981
"c5.loc7",0.293478534485324
"c5.loc8",0.289626742797452
"c5.loc9",0.280005623173956
"c5.loc10",0.26511673162026
"5_2724813",0.251552052274924
"c5.loc11",0.243745229461112
"c5.loc12",0.209664966998972
"c5.loc13",0.170665151588786
"5_3072237",0.170067904240959
"c5.loc14",0.12100476640196
"5_3309342",0.104018743974436
"c5.loc15",0.0987766735044389
"c5.loc16",0.0901087362164574
"c5.loc17",0.0809525898285415
"c5.loc18",0.0715218788065002
"c5.loc19",0.0620579421619354
"c5.loc20",0.0528092360406873
"c5.loc21",0.0440091981355621
"5_4431511",0.0425559965786562
"18_30393961",0.00233575676789854
"c5.loc22",0.000751986860890952
"c5.loc23",0.000270016383105087
"c5.loc24",0.00331017149908064
"c5.loc25",0.00901860274673538
"5_5085070",0.0129472636966881
"c5.loc26",0.0160983274299227
"5_5442598",0.0214175176391294
"5_5561345",0.0214175179271052
"c5.loc27",0.0243929112815877
"c5.loc28",0.0343674952512742
"c5.loc29",0.0457409071830952
"c5.loc30",0.0581008516529877
"c5.loc31",0.0709528770151948
"5_7077917",0.0744016456487486
"c5.loc32",0.0835569090822972
"c5.loc33",0.0878434675873692
"5_7259503",0.0875775053135897
"c5.loc34",0.0685705595660835
"19_7239488",0.0654876004618643
"c5.loc35",0.0569885241652912
"c5.loc36",0.0472271410087259
"c5.loc37",0.0377718228236432
"5_8660631",0.036567336008936
"c5.loc38",0.0310460461610376
"c5.loc39",0.0217879392679308
"c5.loc40",0.00916639406653275
"5_9112495",0.00293606432400395
"c5.loc41",0.00311974008712212
"c5.loc42",0.00283929072634947
"c5.loc43",0.00247776343149297
"5_9758363",0.00246655599193701
"4_2304111",0.00828541510826852
"5_9538854",0.00828541511089753
"5_9694223",0.0144642902637955
"c5.loc44",0.0445450409082682
"5_10114766",0.0774238464539394
"c5.loc45",0.0730212551674967
"c5.loc46",0.0627506420051205
"c5.loc47",0.0509752122964358
"5_12398332",0.0459577403956928
"5_11607530",0.0394813571213462
"5_11718096",0.155085515486057
"c5.loc48",0.153945672811737
"c5.loc49",0.136588178566882
"c5.loc50",0.118150441348583
"c5.loc51",0.0994377616760289
"c5.loc52",0.081282652513714
"5_15323715",0.0772492684526469
"5_15667054",0.077564913506265
"c5.loc53",0.129363617547995
"1_6307602",0.148747798467092
"c5.loc54",0.151195776732962
"c5.loc55",0.153559571279331
"c5.loc56",0.155337702097299
"c5.loc57",0.156520384831261
"5_18497601",0.156690315082599
"5_18497582",0.197571022818956
"c5.loc58",0.219174034029578
"c5.loc59",0.247311582795582
"c5.loc60",0.2742390530032
"c5.loc61",0.299348918482956
"5_20508317",0.321872895686894
"5_20389519",0.321872895621411
"c5.loc62",0.322197393019387
"5_20469725",0.323145948929806
"5_20142901",0.30326670301595
"c5.loc63",0.404604517831274
"5_20563021",0.474358173584562
"c5.loc64",0.501504827701353
"5_20877514",0.577610357324716
"c5.loc65",0.232637052565138
"5_20828642",0.491525821549367
"c5.loc66",0.42662846822202
"c5.loc67",0.277529645877237
"5_21366287",0.232490229601993
"c5.loc68",0.22497778895162
"5_21632590",0.216639664314279
"c5.loc69",0.143341730874667
"5_21729661",0.223149041274688
"c5.loc70",0.261782258394156
"5_22057342",0.281767618459043
"5_21614916",0.251489067961437
"c5.loc71",0.250515250849055
"5_22553215",0.249156640602763
"c5.loc72",0.243474329538351
"5_22996444",0.242783821147718
"5_22996438",0.136933890178362
"5_22919343",0.135425302828217
"5_23031683",0.413734122132844
"5_23164911",0.410942530534115
"c5.loc73",0.0973739730297893
"5_22996462",0.086840776043033
"5_22968587",0.0608662646875686
"c5.loc74",0.00298081580883292
"c5.loc75",0.30345750770509
"5_23871533",0.399304839267522
"c5.loc76",0.40496036793602
"5_24080763",0.487904239438571
"c5.loc77",0.488046864533494
"5_24031506",0.490683773811455
"c5.loc78",0.453798040226317
"c5.loc79",0.378774534740622
"c5.loc80",0.304063591978128
"5_24816875",0.257937870951366
"c5.loc81",0.257905731774393
"5_25196807",0.257835749480357
"c5.loc82",0.0148250717162313
"5_25438857",0.102292151169621
"4_23787844",0.123336068895192
"c6.loc1",0.123290651643423
"c6.loc2",0.123234900745516
"4_23787821",0.123211002058717
"6_395210",0.0106661366406797
"c6.loc3",0.0106716551536508
"6_780677",0.0106730849929377
"c6.loc4",0.0911641081669075
"c6.loc5",0.0723019097907027
"6_1563280",0.0672560746530309
"c6.loc6",0.0667594201823505
"6_1933490",0.0662918526011822
"6_2124962",0.0691445697054363
"c6.loc7",0.0156659555125813
"6_2018054",0.0109899765711532
"c6.loc8",0.0177796706774416
"c6.loc9",0.0259365092404025
"6_2338911",0.0283029167627902
"6_2581999",0.055058796990572
"c6.loc10",0.150062572776754
"6_2530151",0.275305451042861
"c6.loc11",0.270644531682528
"c6.loc12",0.262902950618418
"6_3208601",0.262327954900542
"c6.loc13",0.302773253826416
"c6.loc14",0.181861791197534
"6_3524817",0.163395320387252
"c6.loc15",0.169287231542164
"c6.loc16",0.153019467220282
"c6.loc17",0.132011579036643
"c6.loc18",0.113898949833782
"6_3857152",0.113498357625971
"c6.loc19",0.10859266832604
"c6.loc20",0.102769466576255
"c6.loc21",0.0962081945758584
"c6.loc22",0.0890180887230088
"c6.loc23",0.0813495975643974
"c6.loc24",0.0733844726650901
"6_5018994",0.0655787552293461
"c6.loc25",0.0547246491517654
"6_5072530",0.116240033875059
"c6.loc26",0.16465765138696
"6_5065181",0.166476550176334
"c6.loc27",0.194466656587764
"6_5391722",0.2169649934104
"c6.loc28",0.20348426580339
"c6.loc29",0.152412375506302
"6_6067964",0.181685429596648
"6_5878751",0.221101133174542
"6_5918482",0.221808270418855
"6_6037556",0.235269663148294
"c6.loc31",0.233485625751406
"c6.loc32",0.230551450534385
"6_6517464",0.2286607492385
"c6.loc33",0.218108111530221
"6_7240203",0.195806316978675
"c6.loc34",0.727784707318484
"6_7367026",0.0531725041338404
"c6.loc35",0.0438391601767449
"6_7422466",0.0388153767885129
"6_7434965",0.174595303241674
"6_7434946",0.174921863180671
"c6.loc37",0.578456842110583
"c6.loc38",0.0835902072715484
"6_8276089",0.0419900123836427
"6_8177958",0.040784643014355
"c6.loc39",0.0410580707697079
"c6.loc40",0.0428543126032608
"c6.loc41",0.044705555842647
"c6.loc42",0.0466105383566102
"6_11473551",0.0479240417114966
"c6.loc43",0.428954715072599
"6_11398108",0.688497713791008
"c6.loc44",0.688634195784971
"c6.loc45",0.68846258218425
"c6.loc46",0.687878618782456
"c6.loc47",0.686859332779044
"c6.loc48",0.685383458975217
"c6.loc49",0.683431833168505
"9_4410620",0.681837019435612
"c6.loc50",0.000201288611997086
"6_13928074",0.0362272059296842
"6_14522304",0.014337186567154
"c6.loc51",0.00551432638079774
"6_14522248",9.34337152855846e-05
"c6.loc52",0.00249989917126925
"c6.loc53",0.028834944400657
"c6.loc54",0.114158353739569
"6_14939919",0.137925982623763
"c6.loc55",0.0425732101369292
"c6.loc56",0.00390946841299211
"6_15724210",0.00116346443657989
"c6.loc57",0.000379777357622402
"6_15339772",0.000192080969306119
"c6.loc58",0.0208913770367261
"6_16115245",0.137146264593262
"c6.loc59",0.125637711015791
"c6.loc60",0.0907680197918239
"c6.loc61",0.0624230910981183
"c6.loc62",0.0420258120993111
"c6.loc63",0.0281103177427084
"6_18327662",0.021805794790879
"c6.loc64",0.0213328412068492
"c6.loc65",0.0192441326543857
"c6.loc66",0.0148858828542302
"c6.loc67",0.00667103348302334
"c6.loc68",2.37388619979129e-05
"6_19048247",0.00163850523875908
"c6.loc69",0.000260225097505895
"c6.loc70",0.00114177147898431
"c6.loc71",0.00249104191104976
"6_19480467",0.00307494425518229
"c6.loc73",0.000177383786450491
"6_20137833",0.00562708177690041
"c6.loc74",0.00563365436157426
"6_19923276",0.00530867906960708
"6_20191059",0.0322102255668284
"c6.loc75",0.0271767890916621
"6_20246431",0.0206362353037122
"c6.loc76",0.00511335732525708
"6_20445306",0.00250728896395458
"c6.loc77",0.00235746768156275
"c6.loc78",0.0010486497518869
"6_20734091",0.000873033858390215
"c6.loc79",6.67765220896399e-05
"c6.loc80",0.000331296862896124
"6_21133250",0.000983670752546573
"c6.loc81",0.000983670752603416
"c6.loc82",0.000983670752695787
"c6.loc83",0.000983670752724208
"c6.loc84",0.000983670752845001
"c6.loc85",0.000983670752802368
"c6.loc86",0.000983670752859211
"6_22246199",0.000983670752916055
"6_22246211",0.000983670754443722
"7_227150",0.166099648263071
"7_350236",0.192337009070265
"c7.loc1",0.19008364773714
"c7.loc2",0.186438023939104
"7_1430460",0.185334707632052
"c7.loc3",0.00563914246740183
"7_1033332",0.179851059708341
"c7.loc4",0.224783208016632
"7_915680",0.231672228313165
"7_1231538",0.170620248483729
"7_1235119",0.223112471804384
"7_1231413",0.203299171070384
"7_1227786",0.20329917106946
"c7.loc5",0.158763103662118
"c7.loc6",0.297674361010117
"7_1430459",0.427312375052203
"7_1455506",0.48389781033675
"c7.loc7",0.440234516478569
"7_1647439",0.118992504329668
"c7.loc8",0.118557304906815
"7_1750716",0.102170247403109
"7_1750720",0.102170247314866
"c7.loc9",0.092307942308139
"c7.loc10",0.0684975551369789
"7_2244947",0.0560545848467058
"7_2206578",0.0560545845576996
"c7.loc11",0.0478404849359748
"7_2581409",0.0335569303954273
"c7.loc12",0.0312351230252688
"c7.loc13",0.0192698756341656
"c7.loc14",0.0097446060895976
"c7.loc15",0.00324902114928705
"c7.loc16",0.000206619837094024
"c7.loc17",0.000805540496330082
"c7.loc18",0.00496718768100379
"c7.loc19",0.0123621679006192
"c7.loc20",0.0224681855166224
"7_3843501",0.0311703505031531
"c7.loc21",0.0328152415633838
"c7.loc22",0.0388597101868839
"c7.loc23",0.0445471972132125
"c7.loc24",0.0494337971723198
